amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700241,SAN LUIS DE GACENO,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,239,163,478.0,2.0
0700097,GAMEZA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,269,183,534.0,1.9851301115241635
0700161,MOTAVITA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,109,74,214.0,1.963302752293578
0700271,SOCOTA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,471,291,924.0,1.9617834394904459
0700217,RAMIRIQUI,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,389,284,753.0,1.93573264781491
0700055,CORRALES,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,177,131,340.0,1.92090395480226
0700256,SANTA SOFIA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,178,123,340.0,1.9101123595505618
0700274,SOCHA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,837,660,1586.0,1.8948626045400239
0700193,PAYA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,48,25,90.0,1.875
0700100,GARAGOA,CENTRO DEMOCRATICO,10,PARTIDO CENTRO DEMOCRÁTICO,556,390,1031.0,1.85431654676259
